"collection1"
"Rank","Name","Net Worth","Source","Country of Citizenship","Age"
"#1","Bill Gates","$79.2 B","Microsoft","United States","60"
"#2","Carlos Slim Helu","$77.1 B","telecom","Mexico","75"
"#3","Warren Buffett","$72.7 B","Berkshire Hathaway","United States","85"
"#4","Amancio Ortega","$64.5 B","Zara","Spain","79"
"#5","Larry Ellison","$54.3 B","Oracle","United States","71"
"#6","Charles Koch","$42.9 B","diversified","United States","80"
"#6","David Koch","$42.9 B","diversified","United States","75"
"#8","Christy Walton","$41.7 B","Wal-Mart","United States","60"
"#9","Jim Walton","$40.6 B","Wal-Mart","United States","67"
"#10","Liliane Bettencourt","$40.1 B","L'Oreal","France","93"
"#11","Alice Walton","$39.4 B","Wal-Mart","United States","66"
"#12","S. Robson Walton","$39.1 B","Wal-Mart","United States","71"
"#13","Bernard Arnault","$37.2 B","LVMH","France","66"
"#14","Michael Bloomberg","$35.5 B","Bloomberg LP","United States","73"
"#15","Jeff Bezos","$34.8 B","Amazon.com","United States","51"
"#16","Mark Zuckerberg","$33.4 B","Facebook","United States","31"
"#17","Li Ka-shing","$33.3 B","diversified","Hong Kong","87"
"#18","Sheldon Adelson","$31.4 B","casinos","United States","82"
"#19","Larry Page","$29.7 B","Google","United States","42"
"#20","Sergey Brin","$29.2 B","Google","United States","42"
"#21","Georg Schaeffler","$26.9 B","ball bearings","Germany","51"
"#22","Forrest Mars, Jr.","$26.6 B","candy","United States","84"
"#22","Jacqueline Mars","$26.6 B","candy","United States","76"
"#22","John Mars","$26.6 B","candy","United States","79"
"#25","David Thomson","$25.5 B","media","Canada","58"
"#26","Jorge Paulo Lemann","$25 B","beer","Brazil","76"
"#27","Lee Shau Kee","$24.8 B","real estate","Hong Kong","87"
"#28","Stefan Persson","$24.5 B","H&M","Sweden","68"
"#29","George Soros","$24.2 B","hedge funds","United States","85"
"#29","Wang Jianlin","$24.2 B","real estate","China","61"
"#31","Carl Icahn","$23.5 B","investments","United States","79"
"#32","Maria Franca Fissolo","$23.4 B","Nutella, chocolates","Italy","97"
"#33","Jack Ma","$22.7 B","e-commerce","China","51"
"#34","Prince Alwaleed Bin Talal Alsaud","$22.6 B","investments","Saudi Arabia","60"
"#35","Steve Ballmer","$21.5 B","Microsoft","United States","59"
"#35","Phil Knight","$21.5 B","Nike","United States","77"
"#37","Beate Heister & Karl Albrecht Jr.","$21.3 B","supermarkets","Germany","-"
"#38","Li Hejun","$21.1 B","solar power equipment","China","48"
"#39","Mukesh Ambani","$21 B","petrochemicals, oil & gas","India","58"
"#40","Leonardo Del Vecchio","$20.4 B","eyeglasses","Italy","80"
"#41","Len Blavatnik","$20.2 B","diversified","United States","58"
"#41","Tadashi Yanai","$20.2 B","retail","Japan","66"
"#43","Charles Ergen","$20.1 B","Dish Network","United States","62"
"#44","Dilip Shanghvi","$20 B","pharmaceuticals","India","60"
"#45","Laurene Powell Jobs","$19.5 B","Apple, Disney","United States","52"
"#46","Dieter Schwarz","$19.4 B","retail","Germany","76"
"#47","Michael Dell","$19.2 B","Dell","United States","50"
"#48","Azim Premji","$19.1 B","software","India","70"
"#49","Theo Albrecht, Jr.","$19 B","Aldi, Trader Joe's","Germany","64"
"#50","Michael Otto","$18.1 B","retail, real estate","Germany","72"
"#51","Paul Allen","$17.5 B","Microsoft, investments","United States","62"
"#52","Joseph Safra","$17.3 B","banking","Brazil","76"
"#53","Anne Cox Chambers","$17 B","media","United States","95"
"#54","Susanne Klatten","$16.8 B","BMW, pharmaceuticals","Germany","53"
"#55","Pallonji Mistry","$16.3 B","construction","Ireland","86"
"#56","Ma Huateng","$16.1 B","internet media","China","44"
"#57","Patrick Drahi","$16 B","Telecom","France","51"
"#58","Thomas & Raymond Kwok","$15.9 B","real estate","Hong Kong","-"
"#59","Stefan Quandt","$15.6 B","BMW","Germany","49"
"#60","Ray Dalio","$15.4 B","hedge funds","United States","66"
"#60","Vladimir Potanin","$15.4 B","metals","Russia","54"
"#62","Serge Dassault","$15.3 B","aviation","France","90"
"#62","Robin Li","$15.3 B","internet search","China","46"
"#64","Donald Bren","$15.2 B","real estate","United States","83"
"#65","Francois Pinault","$14.9 B","retail","France","79"
"#66","Shiv Nadar","$14.8 B","information technology","India","70"
"#67","Aliko Dangote","$14.7 B","cement, sugar, flour","Nigeria","58"
"#68","Mikhail Fridman","$14.6 B","oil, banking, telecom","Russia","51"
"#69","Hinduja Brothers","$14.5 B","diversified","United Kingdom","-"
"#69","Ronald Perelman","$14.5 B","leveraged buyouts","United States","72"
"#71","Cheng Yu-tung","$14.4 B","diversified","Hong Kong","90"
"#71","Alisher Usmanov","$14.4 B","steel & mining, telecom, investments","Russia","62"
"#73","Henry Sy","$14.2 B","diversified","Philippines","91"
"#73","Viktor Vekselberg","$14.2 B","metals, energy","Russia","58"
"#75","Masayoshi Son","$14.1 B","internet, telecom","Japan","58"
"#76","James Simons","$14 B","hedge funds","United States","77"
"#77","German Larrea Mota Velasco","$13.9 B","mining","Mexico","62"
"#77","Rupert Murdoch","$13.9 B","media","United States","84"
"#77","Johanna Quandt","$13.9 B","BMW","Germany","89"
"#80","David & Simon Reuben","$13.7 B","investments, real estate","United Kingdom","72"
"#81","Dhanin Chearavanont","$13.6 B","food","Thailand","76"
"#82","Iris Fontbona","$13.5 B","mining","Chile","72"
"#82","Lui Che Woo","$13.5 B","casinos","Hong Kong","85"
"#82","Lakshmi Mittal","$13.5 B","steel","India","65"
"#85","Abigail Johnson","$13.4 B","money management","United States","53"
"#85","Luis Carlos Sarmiento","$13.4 B","banking","Colombia","82"
"#87","Lei Jun","$13.2 B","smartphones","China","45"
"#87","Charoen Sirivadhanabhakdi","$13.2 B","beverages","Thailand","71"
"#89","Alexey Mordashov","$13 B","steel, investments","Russia","50"
"#89","Marcel Herrmann Telles","$13 B","beer","Brazil","65"
"#91","Gerald Cavendish Grosvenor","$12.6 B","real estate","United Kingdom","63"
"#92","Hans Rausing","$12.5 B","packaging","Sweden","89"
"#92","Jack Taylor","$12.5 B","Enterprise Rent-A-Car","United States","93"
"#94","Charles Butt","$12.3 B","supermarkets","United States","77"
"#94","Gina Rinehart","$12.3 B","mining","Australia","61"
"#96","Vagit Alekperov","$12.2 B","oil","Russia","65"
"#96","Harold Hamm","$12.2 B","oil & gas","United States","69"
"#96","Patrick Soon-Shiong","$12.2 B","pharmaceuticals","United States","63"
"#99","Stefano Pessina","$12.1 B","drugstores","Italy","74"
"#100","Richard Kinder","$12 B","pipelines","United States","71"
"#100","Elon Musk","$12 B","Tesla Motors","United States","44"
"#100","Stephen Schwarzman","$12 B","investments","United States","68"
"#103","Klaus-Michael Kuehne","$11.9 B","shipping","Germany","78"
"#104","Philip Anschutz","$11.8 B","investments","United States","75"
"#105","Andrew Beal","$11.7 B","banks, real estate","United States","62"
"#105","Leonid Mikhelson","$11.7 B","gas, chemicals","Russia","60"
"#107","Charlene de Carvalho-Heineken","$11.6 B","Heineken","Netherlands","61"
"#107","Vladimir Lisin","$11.6 B","steel, transport","Russia","59"
"#109","Steve Cohen","$11.4 B","hedge funds","United States","59"
"#110","Robert Kuok","$11.3 B","diversified","Malaysia","92"
"#110","Lee Kun-Hee","$11.3 B","electronics/insurance","South Korea","73"
"#110","Carlos Alberto Sicupira","$11.3 B","beer","Brazil","67"
"#113","John Paulson","$11.2 B","hedge funds","United States","59"
"#114","Joseph Lau","$10.9 B","real estate","Hong Kong","64"
"#114","Thomas Peterffy","$10.9 B","discount brokerage","United States","71"
"#116","Mohammed Al Amoudi","$10.8 B","oil, diversified","Saudi Arabia","69"
"#116","Dietrich Mateschitz","$10.8 B","Red Bull","Austria","71"
"#118","Hank & Doug Meijer","$10.7 B","supermarkets","United States","-"
"#118","Gennady Timchenko","$10.7 B","oil & gas","Russia","63"
"#120","John Fredriksen","$10.5 B","shipping","Cyprus","70"
"#121","Alberto Bailleres Gonzalez","$10.4 B","mining","Mexico","84"
"#121","Massimiliana Landini Aleotti","$10.4 B","pharmaceuticals","Italy","72"
"#121","David Tepper","$10.4 B","hedge funds","United States","58"
"#124","Zong Qinghou","$10.3 B","beverages","China","70"
"#125","Pierre Castel","$9.9 B","wine","France","89"
"#125","He Xiangjian","$9.9 B","home appliances","China","73"
"#125","Mikhail Prokhorov","$9.9 B","investments","Russia","50"
